Crash Number,Maximum not occuring in a row
1.01,5
1.02,5
1.03,5
1.04,6
1.05,6
1.06,7
1.07,7
1.08,7
1.09,7
1.1,7
1.11,8
1.12,8
1.13,8
1.14,8
1.15,9
1.16,10
1.17,10
1.18,10
1.19,10
1.2,11
1.21,11
1.22,11
1.23,11
1.24,13
1.25,13
1.26,13
1.27,13
1.28,13
1.29,13
1.3,13
1.31,13
1.32,13
1.33,13
1.34,15
1.35,15
1.36,15
1.37,15
1.38,15
1.39,15
1.4,16
1.41,16
1.42,16
1.43,17
1.44,17
1.45,17
1.46,17
1.47,17
1.48,17
1.49,17
1.5,17
1.51,18
1.52,18
1.53,18
1.54,18
1.55,18
1.56,18
1.57,18
1.58,18
1.59,19
1.6,19
1.61,20
1.62,20
1.63,20
1.64,21
1.65,21
1.66,21
1.67,21
1.68,21
1.69,21
1.7,21
1.71,21
1.72,21
1.73,21
1.74,22
1.75,22
1.76,22
1.77,22
1.78,22
1.79,23
1.8,23
1.81,24
1.82,24
1.83,24
1.84,25
1.85,25
1.86,25
1.87,25
1.88,25
1.89,25
1.9,25
1.91,25
1.92,26
1.93,26
1.94,26
1.95,26
1.96,26
1.97,26
1.98,26
1.99,26
2.0,28
2.1,28
2.2,30
2.3,33
2.4,34
2.5,34
2.6,34
2.7,34
2.8,37
2.9,39
3.0,41
3.1,42
3.2,46
3.3,46
3.4,50
3.5,52
3.6,53
3.7,54
3.8,55
3.9,57
4.0,58
4.1,58
4.2,61
4.3,62
4.4,64
4.5,65
4.6,66
4.7,67
4.8,68
4.9,69
5.0,70
5.1,71
5.2,73
5.3,77
5.4,83
5.5,83
5.6,85
5.7,86
5.8,87
5.9,89
6.0,90
6.1,92
6.2,96
6.3,96
6.4,99
6.5,99
6.6,100
6.7,100
6.8,100
6.9,104
7.0,106
7.1,108
7.2,109
7.3,109
7.4,110
7.5,112
7.6,113
7.7,114
7.8,115
7.9,119
8.0,121
8.1,123
8.2,123
8.3,125
8.4,126
8.5,127
8.6,130
8.7,131
8.8,132
8.9,133
9.0,135
9.1,136
9.2,137
9.3,137
9.4,139
9.5,142
9.6,142
9.7,143
9.8,144
9.9,146
10,148
11,151
12,159
13,166
14,183
15,197
16,214
17,223
18,231
19,242
20,259
21,277
22,285
23,302
24,313
25,325
26,334
27,342
28,360
29,363
30,374
31,387
32,399
33,413
34,424
35,434
36,451
37,465
38,478
39,486
40,494
41,508
42,522
43,534
44,541
45,554
46,566
47,576
48,582
49,589
50,603
51,614
52,628
53,635
54,649
55,663
56,675
57,686
58,693
59,702
60,712
61,721
62,735
63,745
64,754
65,766
66,779
67,791
68,803
69,812
70,826
71,834
72,844
73,854
74,863
75,878
76,891
77,905
78,912
79,924
80,933
81,950
82,959
83,970
84,981
85,993
86,1002
87,1017
88,1028
89,1032
90,1045
91,1059
92,1072
93,1078
94,1086
95,1093
96,1105
97,1114
98,1122
99,1135
100,1143
110,1168
120,1207
130,1260
140,1327
150,1410
160,1483
170,1561
180,1633
190,1722
200,1800
210,1870
220,1952
230,2030
240,2102
250,2183
260,2257
270,2327
280,2414
290,2507
300,2584
310,2658
320,2716
330,2790
340,2868
350,2945
360,3024
370,3094
380,3166
390,3236
400,3314
410,3385
420,3462
430,3535
440,3610
450,3681
460,3757
470,3823
480,3896
490,3966
500,4026
510,4099
520,4183
530,4250
540,4326
550,4401
560,4463
570,4534
580,4603
590,4677
600,4735
610,4795
620,4859
630,4916
640,4992
650,5054
660,5133
670,5194
680,5267
690,5353
700,5435
710,5504
720,5554
730,5632
740,5708
750,5774
760,5852
770,5919
780,6002
790,6081
800,6137
810,6192
820,6240
830,6300
840,6352
850,6417
860,6479
870,6521
880,6606
890,6667
900,6733
910,6802
920,6868
930,6935
940,6999
950,7062
960,7133
970,7199
980,7274
990,7335
1000,7400
1100,7513
1200,7661
1300,7851
1400,8081
1500,8361
1600,8712
1700,9041
1800,9368
1900,9722
2000,10083
2100,10442
2200,10825
2300,11187
2400,11581
2500,11967
2600,12340
2700,12693
2800,13062
2900,13430
3000,13772
3100,14134
3200,14505
3300,14876
3400,15230
3500,15570
3600,15944
3700,16305
3800,16672
3900,17015
4000,17367
4100,17700
4200,18066
4300,18385
4400,18753
4500,19152
4600,19507
4700,19845
4800,20158
4900,20509
5000,20811
5100,21132
5200,21488
5300,21772
5400,22084
5500,22392
5600,22722
5700,23045
5800,23387
5900,23707
6000,24030
6100,24365
6200,24684
6300,25005
6400,25342
6500,25628
6600,25930
6700,26223
6800,26519
6900,26845
7000,27167
7100,27481
7200,27777
7300,28076
7400,28410
7500,28718
7600,29002
7700,29304
7800,29593
7900,29868
8000,30166
8100,30477
8200,30761
8300,31057
8400,31365
8500,31663
8600,31977
8700,32254
8800,32545
8900,32832
9000,33140
9100,33416
9200,33712
9300,34007
9400,34295
9500,34620
9600,34916
9700,35203
9800,35494
9900,35770
10000,36057
